M_star,M_gas,gamma,R_c,T_m1,T_a1,q,incl,f_freeze,f_dissoc,f_1-0_12co,f_2-1_12co,f_3-2_12co,f_1-0_13co,f_2-1_13co,f_3-2_13co,f_1-0_c18o,f_2-1_c18o,f_3-2_c18o,f_1-0_c18o_low,f_2-1_c18o_low,f_3-2_c18o_low
0.5,1.00E-03,0,60,100,1000,0.45,0,0.099,0.081,1.658,9.823,25.133,0.13,1.138,3.801,0.026,0.27,0.901,0.01,0.108,0.373
0.5,1.00E-03,0,60,100,1000,0.45,45,0.099,0.081,1.797,10.237,25.837,0.139,1.263,4.253,0.027,0.281,0.962,0.01,0.112,0.387
0.5,1.00E-03,0,60,100,1000,0.45,90,0.099,0.081,1.423,7.17,16.945,0.12,1.109,3.804,0.025,0.257,0.896,0.01,0.106,0.369
0.5,1.00E-03,0,60,100,1500,0.45,0,0.056,0.082,2.162,15.249,41.828,0.117,1.118,4.013,0.021,0.234,0.835,0.007,0.089,0.325
0.5,1.00E-03,0,60,100,1500,0.45,45,0.056,0.082,2.413,16.929,46.351,0.121,1.209,4.402,0.022,0.24,0.868,0.008,0.091,0.333
0.5,1.00E-03,0,60,100,1500,0.45,90,0.056,0.082,2.225,15.227,40.486,0.106,1.086,4.1,0.02,0.22,0.816,0.007,0.086,0.318
0.5,1.00E-03,0,100,100,500,0.45,0,0.412,0.173,0.976,4.821,11.36,0.136,1.003,2.735,0.025,0.254,0.755,0.009,0.098,0.302
0.5,1.00E-03,0,100,100,500,0.45,45,0.412,0.173,1.025,4.803,11.08,0.146,1.133,3.124,0.027,0.268,0.806,0.009,0.102,0.317
0.5,1.00E-03,0,100,100,500,0.45,90,0.412,0.173,0.477,1.942,4.221,0.117,0.825,2.206,0.025,0.239,0.714,0.009,0.097,0.299
0.5,1.00E-03,0,100,100,750,0.45,0,0.286,0.19,1.685,9.382,23.435,0.151,1.286,3.907,0.025,0.279,0.912,0.009,0.102,0.346
0.5,1.00E-03,0,100,100,750,0.45,45,0.286,0.19,1.764,9.339,22.778,0.16,1.423,4.401,0.027,0.291,0.959,0.009,0.107,0.36
0.5,1.00E-03,0,100,100,750,0.45,90,0.286,0.19,1.091,4.857,11.001,0.136,1.163,3.609,0.026,0.269,0.888,0.009,0.103,0.347
0.5,1.00E-03,0,100,100,1000,0.45,0,0.207,0.184,2.247,13.945,36.438,0.148,1.378,4.499,0.023,0.269,0.936,0.008,0.097,0.344
0.5,1.00E-03,0,100,100,1000,0.45,45,0.207,0.184,2.395,14.198,36.208,0.154,1.497,4.993,0.024,0.279,0.974,0.008,0.1,0.355
0.5,1.00E-03,0,100,100,1000,0.45,90,0.207,0.184,1.806,9.224,21.762,0.135,1.287,4.379,0.023,0.261,0.918,0.008,0.097,0.346
0.5,1.00E-03,0,100,100,1500,0.45,0,0.115,0.184,2.835,21.359,61.089,0.128,1.335,4.744,0.019,0.23,0.857,0.006,0.08,0.304
